scaffold00001	CHROMOSOME_X	83.305	1192	177	13	1302045	1303215	4962794	4963984	0.0	1079
scaffold00001	CHROMOSOME_X	79.419	413	65	10	3551666	3552070	4192308	4192708	3.82e-69	274
scaffold00001	CHROMOSOME_X	79.301	372	71	6	1099492	1099860	15588980	15589348	1.39e-63	255
scaffold00001	CHROMOSOME_X	88.265	196	20	2	3550860	3551055	4191743	4191935	2.33e-56	231
scaffold00001	CHROMOSOME_X	95.960	99	4	0	8664987	8665085	5709372	5709470	3.11e-35	161
scaffold00001	CHROMOSOME_X	96.842	95	3	0	8664990	8665084	5708028	5708122	1.12e-34	159
scaffold00001	CHROMOSOME_X	95.876	97	4	0	8655323	8655419	5709470	5709374	4.02e-34	158
scaffold00001	CHROMOSOME_X	84.146	164	24	2	2344521	2344683	13214675	13214837	4.02e-34	158
scaffold00001	CHROMOSOME_X	95.833	96	4	0	8655324	8655419	5708122	5708027	1.45e-33	156
scaffold00001	CHROMOSOME_X	95.000	100	4	1	8655327	8655426	13442733	13442635	1.45e-33	156
scaffold00001	CHROMOSOME_X	96.774	93	3	0	8664990	8665082	13448954	13448862	1.45e-33	156
scaffold00001	CHROMOSOME_X	96.774	93	2	1	8655327	8655419	13448864	13448955	5.20e-33	154
scaffold00001	CHROMOSOME_X	95.745	94	4	0	8664990	8665083	13442643	13442736	1.87e-32	152
scaffold00001	CHROMOSOME_X	98.795	83	1	0	8655337	8655419	16689985	16690067	2.42e-31	148
scaffold00001	CHROMOSOME_X	98.780	82	1	0	8664990	8665071	16690066	16689985	8.70e-31	147
scaffold00001	CHROMOSOME_X	80.117	171	34	0	1959899	1960069	3255816	3255986	3.15e-25	128
scaffold00001	CHROMOSOME_X	90.526	95	7	1	8017622	8017716	6292349	6292257	4.08e-24	124
scaffold00001	CHROMOSOME_X	91.398	93	5	2	8017616	8017706	9743581	9743672	4.08e-24	124
